<<<<<<< HEAD
2026-04-05,Ketel Marte,hitter,AZ,ATL,2026,825102,9,109,144,1,2.0,0.0,1.0,4.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,0.13513513513513514,0.4988,0.20596666666666666,0.4,1.6666666666666667,25.419961640211643,1.0,5.333333333333333,2.0204081632653064,1.0,0.0,76.0,0,0.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,2026-04-05T16:00:00Z,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,606466,2B,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07,Ketel Marte,hitter,AZ,NYM,2026,823648,10,109,121,0,2.0,0.0,0.0,2.0,0.0,5.0,5.0,0.0,2.0,0.0,1.0,0.11363636363636363,0.352,0.23525000000000001,0.0,2.5,24.93763214285714,2.9166666666666665,6.958333333333333,1.6012987012987012,1.0,0.0,50.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.6,0.6,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,2026-04-07T16:00:00Z,0.0,0.0,0.0,0.6,0.0,0.2,2.0,0.0,1.0,606466,2B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-08,Ketel Marte,hitter,AZ,NYM,2026,823646,11,109,121,0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,2.0,0.0,1.0,0.12195121951219512,0.176,0.27044999999999997,0.0,2.5,24.090132142857144,1.3333333333333333,7.0,1.344155844155844,1.0,0.0,48.0,0,0.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,1.0,1.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,2026-04-08T16:00:00Z,0.0,0.0,0.0,1.0,0.0,0.2,2.0,0.0,0.0,606466,DH,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-09,Ketel Marte,hitter,AZ,NYM,2026,823645,12,109,121,0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,0.13157894736842105,0.0,0.22983000000000003,0.0,1.0,26.794632142857143,1.5666666666666667,7.333333333333333,1.344155844155844,1.0,0.0,45.0,0,0.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,1.2,1.2,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.4,0.4,synthetic,0.0,-110.0,-110.0,0.0,2026-04-09T16:00:00Z,0.0,0.0,0.0,1.2,0.0,0.4,1.0,0.0,1.0,606466,2B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======
Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,TB,R,PA,AB,BB,SO,SB,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Synthetic_Market_H,Market_Source_H,Market_H_books,Market_H_over_price,Market_H_under_price,Market_H_line_std,Market_HR,Synthetic_Market_HR,Market_Source_HR,Market_HR_books,Market_HR_over_price,Market_HR_under_price,Market_HR_line_std,Market_RBI,Synthetic_Market_RBI,Market_Source_RBI,Market_RBI_books,Market_RBI_over_price,Market_RBI_under_price,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1,Player_ID,Position,2B,3B,HBP,IBB,SF,SH,Market_Player_Norm,Market_Event_ID,Market_Commence_Time_UTC,Market_Home_Team,Market_Away_Team,Market_Provider,Market_Provider_H,Market_Provider_RBI,Market_Provider_HR,Market_K,Synthetic_Market_K,Market_K_books,Market_K_over_price,Market_K_under_price,Market_K_line_std,Market_Provider_K,Market_ER,Synthetic_Market_ER,Market_ER_books,Market_ER_over_price,Market_ER_under_price,Market_ER_line_std,Market_Provider_ER,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Market_Source_K,Market_Source_ER,Market_ERA,Synthetic_Market_ERA,Market_Source_ERA,Market_ERA_books,Market_ERA_over_price,Market_ERA_under_price,Market_ERA_line_std,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1,HBP_allowed,Is_Starter
2026-04-01,Ketel Marte,hitter,AZ,DET,2026,825106,0,109,116,1,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,1.0,0.13333333333333333,0.1725,0.32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.8571428571428571,0.8571428571428571,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.2857142857142857,0.2857142857142857,synthetic,0.0,-110.0,-110.0,0.0,2026-04-01T16:00:00Z,0.0,0.0,0.0,0.8571428571428571,0.0,0.2857142857142857,0.8571428571428571,0.0,0.2857142857142857,606466,DH,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02,Ketel Marte,hitter,AZ,ATL,2026,825105,1,109,144,1,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.11428571428571428,0.0,0.1725,0.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,80.0,0,0.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,2026-04-02T16:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606466,2B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-03,Ketel Marte,hitter,AZ,ATL,2026,825103,2,109,144,1,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.12903225806451613,0.22,0.08625,0.0,0.0,24.625,1.0,6.0,0.0,1.0,0.0,83.0,0,0.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,2026-04-03T16:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606466,2B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-04,Ketel Marte,hitter,AZ,ATL,2026,825104,3,109,144,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.1111111111111111,0.0,0.13083333333333333,0.0,0.0,19.291666666666664,1.5,5.5,1.125,1.0,0.0,89.0,0,0.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.3333333333333333,0.3333333333333333,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,2026-04-04T16:00:00Z,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,606466,2B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-05,Ketel Marte,hitter,AZ,ATL,2026,825102,4,109,144,1,2.0,0.0,1.0,4.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,0.13513513513513514,0.4988,0.09812499999999999,0.4,0.0,17.739583333333332,1.0,5.333333333333333,0.75,1.0,0.0,76.0,0,0.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.25,0.25,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,2026-04-05T16:00:00Z,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,606466,2B,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07,Ketel Marte,hitter,AZ,NYM,2026,823648,5,109,121,0,2.0,0.0,0.0,2.0,0.0,5.0,5.0,0.0,2.0,0.0,1.0,0.11363636363636363,0.352,0.17826,0.0,2.0,16.154166666666665,2.9166666666666665,6.958333333333333,1.2272727272727273,1.0,0.0,50.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.6,0.6,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,2026-04-07T16:00:00Z,0.0,0.0,0.0,0.6,0.0,0.2,2.0,0.0,1.0,606466,2B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-08,Ketel Marte,hitter,AZ,NYM,2026,823646,6,109,121,0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,2.0,0.0,1.0,0.12195121951219512,0.176,0.2072166666666667,0.0,1.6666666666666667,16.432805555555554,1.3333333333333333,7.0,0.9818181818181818,1.0,0.0,48.0,0,0.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,1.0,1.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,2026-04-08T16:00:00Z,0.0,0.0,0.0,1.0,0.0,0.2,2.0,0.0,0.0,606466,DH,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> db5a1a11ba69c1d199205aaea20b9db752964d2b
